Game_no,End_board,Black_score,Winner,Move_record
24,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-22,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 68, 38, 48, None, 83, None, 73, 82, 63, 72, 81, None, 62, 71, 27, 26, 57, 58, 51, 18, 61, None, 41, 32, 21, 52, 22, 11, 12, 13, 23, 25, 24, None, 15, 16, 17, 14, None]"
25,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-56,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 57, 58, 48, 25, 73, 82, 72, 62, 27, 16, 63, None, 81, None, 51, 71, 61, None, 52, None, 41, None, 26, None, 17, None, 21, None, 14, 24, 13, 23, 32, 22, 11, None, 12, None, 15, None]"
26,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', '.', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-51,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 23, 73, 11, 57, 82, 63, 72, 48, 58, 28, 27, 62, 71, 81, None, 51, None, 61, None, 52, None, 41, None, 32, 25, 21, None, 18, 17, 26, None, 12, 13, 16, 14, 15, None]"
27,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-45,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 51, None, 15, 16, 52, 61, 41, 14, 18, 57, 17, 24, 58, None, 13, None, 25, None, 21, 11, 23, None]"
28,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'Black', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-4,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 83, 38, 48, None, 73, 63, 24, 82, 25, 14, 81, 26, 72, 62, 68, None, 57, 58, 27, 18, 17, 16, 15, None, 13, 12, 23, 32, 22, 52, 71, 61, 21, 11, 51, 41, None]"
29,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-10,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 83, 38, 48, None, 73, 63, 24, 82, 25, 14, 81, 26, 72, 62, 22, 11, 68, None, 57, 58, 27, 18, 17, 16, 15, None, 32, 23, 41, 52, 61, 51, 13, 12, 21, 71, None]"
30,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-62,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 73, 82, 72, 62, 63, None, 35, 26, 81, 27, 51, 71, 61, None, 52, None, 41, None, 21, None, 57, None, 22, 32, 24, 12, 11, None, 13, None, 23, None, 15, 16, 25, 18, 58, 14, 17, None]"
31,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-45,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 51, None, 15, 16, 52, 61, 41, 14, 18, 57, 58, None, 17, 24, 13, None, 25, None, 21, 11, 23, None]"
32,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-26,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 48, 58, 57, 26, 73, 82, 72, 62, 71, None, 51, 52, 61, None, 81, None, 41, 32, 63, None, 21, 22, 25, 14, 27, 24, 17, 15, 16, None, 12, 11, 23, 13, None]"
33,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-43,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 51, None, 15, 16, 52, 61, 41, 14, 18, 57, 17, 24, 21, 11, 58, None, 25, None, 13, None, 23, None]"
34,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-34,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 24, 48, 11, 57, 58, 28, 27, 73, 82, 72, 62, 81, None, 51, 52, 61, None, 71, 63, 41, 32, 21, None, 12, 13, 23, None, 14, 15, 25, 26, 16, 17, 18, None]"
35,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-50,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 32, 48, 11, 57, 58, 28, 27, 73, 82, 72, 62, 81, None, 63, None, 21, 52, 12, 13, 23, 25, 71, 24, 51, 61, 41, None, 17, 18, 16, 14, 15, None, 26, None]"
36,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-28,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 62, 63, 57, 61, 48, 26, 73, 82, 81, 58, 72, None, 22, 23, 25, 11, 24, 14, 15, 16, 27, None, 17, None, 71, 52, 51, None, 41, None, 32, None, 13, 12, 21, None]"
37,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 32, 48, 11, 57, 58, 28, 27, 73, 82, 72, 62, 63, None, 81, None, 21, 52, 12, 13, 71, None, 23, 25, 24, 15, 61, 51, 41, 26, 14, None, 18, 17, 16, None]"
38,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-24,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 35, 18, 27, 25, 15, 24, 48, 14, 26, 58, 57, 17, 16, None, 73, 82, 72, 62, 63, None, 81, None, 71, 52, 61, 32, 41, 51, 21, 22, 12, 11, 23, 13, None]"
39,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-46,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 24, 48, 11, 57, 58, 28, 27, 73, 82, 72, 62, 81, None, 61, None, 23, 12, 71, 63, 52, None, 25, 26, 41, 51, 32, None, 18, 17, 16, 15, 21, 14, 13, None]"
40,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-48,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 73, 82, 72, 62, 25, 24, 81, 14, 57, 58, 48, None, 28, None, 27, 18, 23, 13, 26, 17, 61, None, 15, 16, 51, 71, 63, 41, 52, None, 21, None, 32, 22, 11, None, 12, None]"
41,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'Black', 'Black', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-22,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 51, None, 52, 61, 41, 58, 57, 18, 21, 11, 25, 16, 32, 24, 23, 14, 22, 13, 12, None, 17, 15, None]"
42,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-44,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 22, 24, 48, 11, 57, 58, 28, 27, 73, 82, 72, 62, 63, None, 51, 52, 81, None, 71, None, 41, 61, 21, 32, 12, 13, 23, None, 14, 15, 25, 26, 18, 17, 16, None]"
43,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'Black', 'White', 'White', 'Black', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'Black', 'Black', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-12,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 35, 36, 83, 38, 48, None, 73, 63, 24, 82, 25, 14, 81, 26, 72, 62, 22, 11, 68, None, 57, 58, 27, 18, 17, 16, 15, None, 32, 23, 41, 52, 13, 12, 21, 51, 71, 61, None]"
44,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-42,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 35, 18, 27, 25, 15, 24, 48, 14, 57, 58, 26, 16, 17, None, 73, 82, 72, 62, 61, None, 81, None, 23, 13, 51, 71, 63, 41, 52, None, 21, None, 32, 22, 11, None, 12, None]"
45,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'Black', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'Black', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-45,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 28, 36, 68, 38, 48, None, 63, 73, 82, 27, 35, 26, 72, 81, 62, 71, 51, None, 15, 16, 52, 61, 41, 14, 18, 57, 17, 24, 21, 11, 58, None, 25, None, 32, 23, 13, None, 22, None]"
46,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'White', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'Black', 'White', 'White', 'Black', 'Black', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-44,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 28, 33, 83, 36, 68, 38, 48, None, 73, 82, 63, 72, 81, None, 62, 71, 51, None, 61, None, 32, 52, 41, 35, 27, 26, 21, 18, 57, 58, 22, 23, 13, 12, 11, None, 14, None, 25, 24, 17, 15, 16, None]"
47,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'White', '.', '.', 'Black', '.', 'White', 'White', 'White', '?', '?', 'White', 'White', '.', '.', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'Black', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', 'White', 'White', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",-55,Controller White,"[56, 66, 65, 46, 37, 53, 64, 47, 43, 42, 77, 88, 67, 76, 87, 86, 75, 84, 74, 85, 34, 78, 31, 83, 33, 35, 36, 68, 38, 73, 82, 63, 72, 81, None, 52, 61, 32, 22, 62, 71, 51, None, 41, None, 21, None, 57, None, 48, 58, 25, 14, 28, 27, 18, 17, 26, None, 16, None, 11, None]"
